Speaker,Constituency,mean_pitch_hz,min_pitch_hz,max_pitch_hz
Cathy Lynch,Dun_Laoghaire,161.79,92.76,494.44
Jennifer Carroll Macneill,Dun_Laoghaire,180.09,75.02,472.44
Martha Fanning,Dun_Laoghaire,253,95.78,487.98
Anne Rabbitte,Galway_East,195.69,81.02,414.23
Niamh Madden,Galway_East,190.12,75.45,471.32
Clodagh Higgins,Galway_East,185.22,74.99,482.66
Pauline O' Reilly,Galway_West,184.81,75,486.4
Maisie Mcmaster,Galway_West,222.54,92.08,490.65
Grainne Seoige,Galway_West,198.07,77.17,408.6
Hildegarde Naughton,Galway_West,176.89,75.57,401.28
Mairead Farrell,Galway_West,220.05,157.02,489.81
Catherine Connolly,Galway_West,180.81,79.7,475.64
Helen Ogbu,Galway_West,185.78,120.22,491.01
Mary Fitzgibbon,Kerry,304.9,123.55,487.56
Stephanie O Shea,Kerry,204.95,78.94,402.94
Linda Gordon Kelleher,Kerry,204.64,77.37,499.51
Cleo Murphy,Kerry,211.54,85.83,497.4
Catherina O' Sullivan,Kerry,198.86,75.13,386.15
Norma Foley,Kerry,167.38,80.45,468.94
Michelle Keane,Kerry,216.54,75.33,458.99
Angela Feeney,Kildare_North,241.15,75.45,499.86
Evie Sammon,Kildare_North,185.57,75.45,483.14
Avril Corcoran,Kildare_North,149.69,75.48,308.27
Una O' Connor,Kildare_North,200.38,78.11,383.09
Reada Cronin,Kildare_North,199.68,80.81,497.25
Leah Whelan,Kildare_North,253.84,75.03,499.65
Patricia Ryan,Kildare_South,223.35,83.34,491.39
Melissa Byrne,Kildare_South,176.91,78.21,498.44
Fiona O' Loughlin,Kildare_South,212.74,75.09,491.76
Shonagh Ni Raghallaigh,Kildare_South,192.03,74.96,498.11
Monaa K Sood,Kildare_South,240.83,75.12,484.87
Aisling Moran,Laois,154.95,75.11,490.05
Rosie Palmer,Laois,200.55,84.14,484.32
Elaine Mullally,Laois,185.59,75.44,388.29
Maria Mccormack,Laois,202.54,139.49,474.61
Pauline Flanagan,Laois,199.85,75.03,374.44
Sarah Beasley,Limerick_City,169.3,75.33,485.16
Dee Ryan,Limerick_City,170.08,83.51,379.8
Melanie Cleary,Limerick_City,160.09,74.98,352.52
Maria Byrne,Limerick_City,175.23,74.98,464.94
Elisa O' Donovan,Limerick_City,192.71,79.83,463.41
Noreen Stokes,Limerick_County,229.55,104.55,473.5
Donna O' Loughlin,Limerick_County,205.56,83.98,499.97
April Sheehan Corkery,Limerick_County,186.44,75.2,408.92
Bridie Collins,Limerick_County,176.73,75.17,498.37
Joanne Collins,Limerick_County,172.02,75.91,493.77
Sorca Clarke,Longford_Westmeath,203.52,112.02,463.66
Louise Heavin,Longford_Westmeath,182.26,75.36,493.63
Laura O' Neill,Longford_Westmeath,187.91,75.11,494.37
Charlotte Keenan,Longford_Westmeath,157.28,75.76,307.02
Tanya Cannon,Longford_Westmeath,177.56,74.98,324.97
Dympna Cunniffe,Longford_Westmeath,184.17,75.78,490.05
Joanna Byrne,Louth,204.34,77.09,488.83
Erin Mcgreehan,Louth,168.41,74.96,399.62
Marianne Butler,Louth,214.52,140.97,499.59
Paula Butterly,Louth,183.99,76.5,323.69
Tracy O' Hanlon,Louth,242.33,143.46,403.56
Alison Comyn,Louth,198.61,83.99,497.51
Martina Jennings,Mayo,226.29,75.48,391.62
Keira Keogh,Mayo,209.02,84.06,465.3
Rose Conway Walsh,Mayo,200.09,80.95,498.02
Lisa Chambers,Mayo,157.19,75.79,269.57
Caroline O' Reilly,Meath_East,175.48,79.42,437.56
Carolyn Fahy,Meath_East,228.56,81.03,350.26
Helen Mcentee,Meath_East,165.92,75.28,499.57
Emer Toibin,Meath_East,186.19,75.2,499.13
Gillian Toole,Meath_East,192.39,78.45,380.96
Maria White,Meath_East,234.98,99.91,482.35
Eilish Balfe,Meath_East,225.98,85.97,331.67
Sharon Tolan,Meath_East,172.62,116.28,328.66
Jean Murray,Meath_East,186.38,75.16,499.29
Linda Nelson Murray,Meath_West,238.63,75.01,496.98
Sandy Gallagher,Meath_West,191.43,82.3,383.48
Aisling Dempsey,Meath_West,179.34,75.16,453.88
Carol Nolan,Offaly,223.71,108.97,478.86
Aoife Masterson,Offaly,258.91,76.87,498.7
Claire Murray,Offaly,242.05,74.99,498.4
Pippa Hackett,Offaly,210.54,80.4,465.81
Dympna Daly Finn,Roscommon-Galway,206.9,110.64,484.12
Aisling Dolan,Roscommon-Galway,252.39,75.04,462.16
Martina O' Connor,Roscommon-Galway,223.34,75.72,489.07
Claire Kerrane,Roscommon-Galway,187.5,81.43,461.27
Marie Casserly,Sligo-Leitrim,214.8,75.14,481.93
Nessa Cosgrove,Sligo-Leitrim,177.94,81.95,492.21
Molly Candon,Sligo-Leitrim,191.51,75.76,499.23
Marian Harkin,Sligo-Leitrim,259.58,76.5,497.39
Edel Mcsharry,Sligo-Leitrim,169.58,76.92,498.48
Blaithin Gallagher,Sligo-Leitrim,241.49,75.64,499.42
Phyll Bugler,Tipperary_North,171.31,75.56,486.85
Iva Pocock,Tipperary_North,231.64,102.33,498.59
Nadaline Webster,Tipperary_South,139.14,75.04,362.87
Imelda Goldsboro,Tipperary_South,247.79,81.84,497.92
Rosemary Mcglone,Tipperary_South,197.04,80.6,492.48
Sadhbh O' Neill,Waterford,216.43,99.76,498.9
Mary Roche,Waterford,234.67,75.17,499.09
Melissa O' Neill,Waterford,144.63,75.09,224.12
Mary Butler,Waterford,193.78,82.67,392.67
Bridin Murphy,Wexford,185.43,74.97,496.64
Verona Murphy,Wexford,190.5,78.09,467.69
Michelle O' Neill,Wexford,187.98,75.18,377.77
Michaela Keddy,Wicklow,198.95,75.03,495.54
Kellie Mcconnell,Wicklow,158.59,74.93,484.88
Jennifer Whitmore,Wicklow,155.51,75.4,497.34
Ann Walsh,Wicklow-Wexford,140.76,75,496.23
