Incumbency,Candidate in GE24,Elected in GE24,Title,First Name,Surname,Gender,Consituency,Party Full,mean_pitch_hz,min_pitch_hz,max_pitch_hz,,,
Y,Y,Y,Deputy,Ivana ,Bacik,F,Dublin Bay South,Labour,200.65,75.07,470.24,,,
N,Y,N,Cllr,Hazel ,Chu,F,Dublin Bay South,Green Party,161.78,76.9,489.89,,,
N,Y,N,Cllr,Emma ,Blain,F,Dublin Bay South,Fine Gael,147.7,76.36,422.11,,,
N,Y,N,,Kate ,O'Connell,F,Dublin Bay South,Independent,158.26,90.78,487.96,,,
N,Y,N,,Lauralee,Doyle,F,Dublin Bay South,The Irish People,211.59,75.1,424.1,,,
N,Y,N,,Brigid,Purcell,F,Dublin Bay South,Solidarity - People Before Profit,250.9,75.06,496.19,,,
Y,Y,N,Deputy,Neasa,Hourigan,F,Dublin Central,Green Party,184.81,76.41,497.41,,,
Y,Y,Y,Deputy,Mary Lou,McDonald,F,Dublin Central,Sinn Fein,244.91,81.5,497.15,,,
N,Y,N,Senator,Mary ,Fitzpatrick,F,Dublin Central,Fianna Fail,242.97,75.08,498.33,,,
N,Y,Y,Senator,Marie ,Sherlock,F,Dublin Central,Labour,188.31,75.12,406.29,,,
N,Y,N,,Janice,Boylan,F,Dublin Central,Sinn Fein,229.55,153.18,496.03,,,
N,Y,N,,Clare,Daly,F,Dublin Central,Independents 4 Change,156.84,75.37,499.04,,,
N,Y,N,Cllr,Joan ,Hopkins,F,Dublin Fingal East,Social Democrats,190.42,77.63,498.41,,,
N,Y,Y,Cllr,Ann ,Graves,F,Dublin Fingal East,Sinn Fein,143.57,76.17,496.72,,,
N,Y,N,,Margaret,McGovern,F,Dublin Fingal East,Aontu,205.21,77.69,476.54,,,
N,Y,N,,Manju,Devi,F,Dublin Fingal East,Fianna Fail,,,,,,
N,Y,N,,Victoria,Byrne,F,Dublin Fingal East,Irish Freedom Party,,,,,,
Y,Y,Y,Deputy,Louise,O'Reilly,F,Dublin Fingal West,Sinn Fein,182.97,75.08,494.8,,,
N,Y,Y,,Grace,Boland,F,Dublin Fingal West,Fine Gael,228.74,74.97,498.31,,,
N,Y,N,Senator,Lorraine ,Clifford-Lee,F,Dublin Fingal West,Fianna Fail,219.74,77.69,481.3,,,
Y,Y,Y,Deputy,Emer,Higgins,F,Dublin Mid-West,Fine Gael,221.5,84.7,498.1,,,
N,Y,N,,Lynda ,Prendergast,F,Dublin Mid-West,Fianna Fail,187.14,77.42,460.32,,,
N,Y,N,Cllr,Linda,De Courcy,F,Dublin Mid-West,Independent Ireland,247.02,91.08,436.32,,,
N,Y,N,Cllr,Vicki,Casserly,F,Dublin Mid-West,Fine Gael,170.86,77.08,494.27,,,
N,Y,N,,Karla,Doran,F,Dublin Mid-West,Green Party,,,,,,
N,Y,N,,Caroline ,Conroy,F,Dublin North-West,Green Party,196.97,74.95,499.35,,,
N,Y,N,,Cathleen,Carney Boud,F,Dublin North-West,Sinn Fein,201.98,74.97,384.11,,,
Y,Y,N,Deputy,Catherine ,Martin,F,Dublin Rathdown,Green Party,213.33,76.64,370.27,,,
N,Y,Y,,Sinead ,Gibney,F,Dublin Rathdown,Social Democrats,227.79,87.25,493.44,,,
N,Y,N,Cllr,Lettie,McCarthy,F,Dublin Rathdown,Labour,181.22,75.42,476.72,,,
N,Y,Y,Cllr,Maeve,O'Connell,F,Dublin Rathdown,Fine Gael,210.95,75.36,383.22,,,
N,Y,N,,Elaine,Dunne,F,Dublin Rathdown,Fianna Fail,184.01,74.96,499.42,,,
N,Y,N,,Siomha,Ni Aonghusa,F,Dublin Rathdown,Solidarity - People Before Profit,159.03,74.96,340.99,,,
N,Y,N,Cllr,Hazel ,De Nortuin,F,Dublin South Central,Solidarity - People Before Profit,151.84,74.96,465.28,,,
Y,Y,N,Deputy,Joan ,Collins,F,Dublin South Central,Right To Change,142.31,75.49,496.54,,,
