Candidate Name,Party,Constituency,Vocal Pitch (Hz),Source,Time Stamp,URL,,,,,
Laura Harmon,Labour,Cork South-Central,137.93,Youtube video (senead speech),0:00-0:32 s,https://www.youtube.com/watch?v=b_fak5QXcw0,,,,,
Veronica Houlihan,Independent Ireland,Cork South-Central,,(can't find videos on initial search),,,,,,,
Valerie Ward,Independent Ireland,Cork South-Central,,(can't find videos on initial search),,,,,,,
Anna Daly,Aontú,Cork South-Central,236.24,Facebook video (personal account),0:00-0:31 s,https://www.facebook.com/watch/?v=1407075599968078,,,,,
Lorna Bogue,Rabh,Cork South-Central,196.39,Facebook video (personal account),0:00-0:34 s,https://www.facebook.com/votelornabogue/,,,,,
Clare O'Callaghan,Sinn Fein,Cork South-West,154.88,Facebook video (personal account),0:00-0:33s,https://www.facebook.com/watch/?v=598345449431087,,,,,* lots of background noise
Mary Ryder,Green,Cork South-West,,(can't find videos on initial search),,,,,,,
Evie Nevin,Labour,Cork South-West,234.08,Facebook video (personal account),0:31-1:02 s,https://www.facebook.com/watch/?v=1007722160545440,,,,,
Holly Cairns,Social Democrats,Cork South-West,178.58,Youtube video (interview),1:21-1:52 s,https://www.youtube.com/watch?v=rDQYrswnCxk,,,,,
Zoe Laplaud,PBP-Solidarity ,Cork South-West,,(can't find videos on initial search),,,,,,,
Mairead Ruane,Aontú,Cork South-West,,(can't find videos on initial search),,,,,,,
Deborah O'Driscoll,IP,Cork South-West,140.02,Facebook video (news account),0:25-1:02 s,https://www.facebook.com/watch/?v=2308919549305339,,,,,
Claudia Kennedy,Fianna Fail,Donegal,238.7,Youtube video (interview),1:28-2:00 s,https://www.youtube.com/watch?v=wfH5KWiR5fY,,,,,
Nikki Bradley,Fine Gael,Donegal,158.98,Facebook video (party account),0:01-0:32 s,https://www.facebook.com/watch/?v=2769120129930050,,,,,
Nuala Carr,Green,Donegal,174.9,Facebook video (news account),0:45-1:10 s,https://www.facebook.com/watch/?v=1093823739066693,,,,,
Carol Gallagher,PBP-Solidarity ,Donegal,178.11,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/100090417955124/videos/3579377245625994,,,,,
Mary T. Sweeney,Aontú,Donegal,219.16,Facebook video (news account),2:32-3:01 s,https://www.facebook.com/watch/?v=1749620875567913,,,,,* audio a bit glitchy
Deirdre Heney,Fianna Fail,Dublin Bay North,204.86,Facebook video (party account),0:00-0:31 s,https://www.facebook.com/fiannafail/videos/2400594736794874/,,,,,
Denise Mitchell,Sinn Fein,Dublin Bay North,200.45,Facebook video (personal account),0:00-0:31 s,https://www.facebook.com/watch/?v=1020750019997987,,,,,
Aoibhinn Tormey,Fine Gael,Dublin Bay North,206.07,Facebook video (party account),0:00-0:34 s,https://www.facebook.com/watch/?v=2081846375258735,,,,,
Emma Blain,Fine Gael,Dublin Bay South,147.7,Facebook video (news account),0:00-0:33s,https://www.facebook.com/reel/1119626506230475,,,,,
Hazel Chu,Green,Dublin Bay South,161.78,Facebook video (party account),0:00-0:31 s,https://www.facebook.com/watch/?v=660074978241332,,,,,* WOC
Ivana Bacik,Labour,Dublin Bay South,200.65,Youtube video (interview),4:42-5:15 s,https://www.youtube.com/watch?v=vfG67J52xHc,,,,,
Brigid Purcell ,PBP-Solidarity ,Dublin Bay South,250.9,Facebook video (party account),0:00-0:32 s,https://www.facebook.com/peoplebeforeprofitofficial/videos/251756113385356/,,,,,
Kate O'Connell,Independent,Dublin Bay South,158.26,Facebook video (news account),0:09-0:35 s,https://www.facebook.com/watch/?v=1077068680694518,,,,,
Lauralee Doyle,IP,Dublin Bay South,211.59,Facebook video (party account),0:00-0:34 s,https://www.facebook.com/watch/?v=4056130284614904,,,,,* lots of background music
Mary Fitzpatrick,Fianna Fail,Dublin Central,242.97,Facebook video (personal account),0:01-0:37 s,https://www.facebook.com/reel/27590640390582151,,,,,
Janice Boylan,Sinn Fein,Dublin Central,229.55,Facebook video (personal account),0:00-0:33 s,https://www.facebook.com/watch/?v=932630748725985,,,,,
Mary Lou McDonald,Sinn Fein,Dublin Central,244.91,Youtube video (dail speech),0:20-0:55 s,https://www.youtube.com/watch?v=KLGns0JOAh8,,,,,
Neasa Hourigan,Green,Dublin Central,184.81,Facebook video (news account),0:00-0:30 s,https://www.facebook.com/watch/?v=1110598090698735,,,,,
Marie Sherlock,Labour,Dublin Central,188.31,Facebook video (personal account),0:00-0:29 s,https://www.facebook.com/watch/?v=589629953618726,,,,,
Clare Daly,14C,Dublin Central,156.84,Youtube video (interview),0:00-0:31 s,https://www.youtube.com/watch?v=UFEFFuW75JI,,,,,
Ann Graves,Sinn Fein,Dublin Fingal East,143.57,Youtube video (dail speech),0:04-0:36 s,https://www.youtube.com/watch?v=0yGFMb5VePE,,,,,
Joan Hopkins,Social Democrats,Dublin Fingal East,190.42,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/watch/?v=1573685163515467,,,,,
Margaret McGovern,Aontú,Dublin Fingal East,205.21,Facebook video (party account),0:37-1:08 s,https://www.facebook.com/watch/?v=830016362380253,,,,,
Victoria Byrne,IFP,Dublin Fingal East,,(can't find videos on initial search),,,,,,,
Lorraine Clifford-Lee,Fianna Fail,Dublin Fingal West,219.74,Facebook video (party account),0:00-0:30 s,https://www.facebook.com/watch/?v=928245395399564,,,,,
Louise O'Reilly,Sinn Fein,Dublin Fingal West,182.97,Facebook video (news account),0:00-0:29 s,https://www.facebook.com/watch/?v=1222875075596063,,,,,
Grace Boland,Fine Gael,Dublin Fingal West,228.74,Facebook video (party account),0:00-0:32 s,https://www.facebook.com/FineGael/videos/1353825845986749/,,,,,
Lynda Prendergast,Fianna Fail,Dublin Mid-West,187.14,TikTok video (personal account),0:00-0:32 s,https://www.tiktok.com/@lynda.prendergast/video/7429428421995973891,,,,,
Vicki Casserly,Fine Gael,Dublin Mid-West,170.86,Facebook video (party account),0:00-0:27 s,https://www.facebook.com/reel/1104851527500020,,,,,
Emer Higgins,Fine Gael,Dublin Mid-West,221.5,Facebook video (party account),0:00-0:31 s,https://www.facebook.com/reel/615249941330502,,,,,
Karla Doran,Green,Dublin Mid-West,,(can't find videos on initial search),,,,,,,
Linda de Courcy,Independent Ireland,Dublin Mid-West,247.02,Youtube video (interview),0:00-0:32 s,https://www.youtube.com/watch?v=1U7VEROR9oI,,,,,
Cathleen Carney Boud,Sinn Fein,Dublin North-West,201.98,TikTok video (personal account),0:00-0:32 s,https://www.tiktok.com/@catcboud/video/7435717302496316675,,,,,
Caroline Conroy,Green,Dublin North-West,196.97,Facebook video (party account),0:00-0:27 s,https://www.facebook.com/GreenPartyIreland/videos/418908937709396/,,,,,
