Candidate Name,Party,Constituency,Vocal Pitch (Hz),Source,Time Stamp,URL,,,,,
Keira Keogh,Fine Gael,Mayo,209.02,Youtube video (dail speech),0:05-0:36 s,https://www.youtube.com/watch?v=LqSmFXD2_e4,,,,,
Caroline O'Reilly,Fianna Fail,Meath East,175.48,Facebook video (news account),0:13-0:49 s,https://www.facebook.com/watch/?v=581233131304561,,,,,
Maria White,Sinn Fein,Meath East,234.98,Facebook video (news account),0:11-0:44 s,https://www.facebook.com/watch/?v=868786265463591,,,,,
Helen McEntee,Fine Gael,Meath East,165.92,Facebook video (party account),0:00-0:36 s,https://www.facebook.com/reel/1383708826129444,,,,,
Sharon Tolan,Fine Gael,Meath East,172.62,Facebook video (party account),0:00-0:34 s,https://www.facebook.com/watch/?v=519599427691902,,,,,
Eilish Balfe,Labour,Meath East,225.98,Instagram video (personal account),0:00-0:31 s,https://www.instagram.com/eilish_balfe_/reels/?hl=en,,,,,
Clara McCormack,PBP-Solidarity ,Meath East,,(can't find videos on initial search),,,,,,,
Emer Tóibín ,Aontú,Meath East,186.19,Facebook video (personal account),0:00-0:33 s,https://www.facebook.com/watch/?v=1678452116035324,,,,,
Gillian Toole,Independent,Meath East,192.39,Facebook video (personal account),0:08-0:40 s,https://www.facebook.com/100064835524737/videos/1283413012883980/,,,,,
Carolyn Fahy,PAW,Meath East,228.56,Facebook video (personal account),0:00-0:51 s,https://www.facebook.com/reel/1007810008186788,,,,,* some parts were quiet
Jean Murray,NP,Meath East,186.38,Facebook video (party account),0:00-0:36 s,https://www.facebook.com/watch/?v=783648413839539,,,,,
Barbara Reid,LR,Meath East,,(can't find videos on initial search),,,,,,,
Aisling Dempsey,Fianna Fail,Meath West,179.34,Facebook video (party account),0:00-0:30 s,https://www.facebook.com/watch/?v=1232458401212766,,,,,
Linda Nelson Murray,Fine Gael,Meath West,238.63,Facebook video (party account),0:00-0:34 s,https://www.facebook.com/watch/?v=1605263337032372,,,,,
Sandy Gallagher,Labour,Meath West,191.43,Facebook video (news account),0:12-0:40 s,https://www.facebook.com/watch/?v=917825376961646,,,,,
Claire Murray,Fianna Fail,Offaly,242.05,Facebook video (party account),0:00-0:27 s,https://www.facebook.com/fiannafail/videos/1153793669374329/,,,,,
Aoife Masterson,Sinn Fein,Offaly,258.91,Facebook video (personal account),0:00-0:33 s,https://www.facebook.com/reel/1068994761638081,,,,,
Pippa Hackett,Green,Offaly,210.54,Facebook video (news account),0:00-0:32 s,https://www.facebook.com/watch/?v=1612698419667056,,,,,
Keishia Taylor,PBP-Solidarity ,Offaly,,(can't find videos on initial search),,,,,,,
Maureen Ward,Aontú,Offaly,,(can't find videos on initial search),,,,,,,
Carol Nolan,Independent,Offaly,223.71,Facebook video (dail speech),0:00-0:33 s,https://www.facebook.com/watch/?v=691315190535503,,,,,
Claire Kerrane,Sinn Fein,Roscommon-Galway,187.5,Youtube video (party account),0:00-0:33 s,https://www.youtube.com/shorts/Hqdk2wLJrQw,,,,,
Dympna Daly Finn,Fine Gael,Roscommon-Galway,206.9,Instagram video (personal account),0:00-0:34 s,https://www.instagram.com/dympna_dalyfinnfg/reels/?hl=en,,,,,
Aisling Dolan,Fine Gael,Roscommon-Galway,252.39,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/watch/?v=2150876968642279,,,,,
Martina O'Connor,Green,Roscommon-Galway,223.34,Facebook video (personal account),0:00-0:36 s,https://www.facebook.com/martina.oconnor.7921/videos/254595553342700,,,,,
Edel McSharry,Fianna Fail,Sligo-Leitrim,169.58,Facebook video (party account),0:15-0:46 s,https://www.facebook.com/watch/?v=389064010149110,,,,,
Bláithín Gallagher,Green,Sligo-Leitrim,241.49,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/watch/?v=895517512557545,,,,,
Nessa Cosgrove,Labour,Sligo-Leitrim,177.94,Facebook video (personal account),0:00-0:31 s,https://www.facebook.com/reel/1059692912696223,,,,,
Caroline Corcoran,Independent Ireland,Sligo-Leitrim,,(can't find videos on initial search),,,,,,,
Marie Casserly ,Independent,Sligo-Leitrim,214.8,Facebook video (personal account),0:00-0:33 s,https://www.facebook.com/marie.casserly/videos/8541004119330925/,,,,,
Marian Harkin,Independent,Sligo-Leitrim,259.58,News interview,0:08-0:40 s,https://www.leitrimobserver.ie/video/general-election/1669640/marian-harkin-ind-still-holding-out-hope-in-sligo-leitrim.html,,,,,
Molly Candon,PAW,Sligo-Leitrim,191.51,Youtube video (interview),22:30-23:01 s,https://www.youtube.com/watch?v=pvvZKGdeRGI,,,,,
Phyll Bugler,Fine Gael,Tipperary North,171.31,Facebook video (personal account),0:00-0:30 s,https://www.facebook.com/reel/1310778643435841,,,,,
Iva Pocock,Green,Tipperary North,231.64,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/ivapocockgreenparty/videos/2509495422727280/,,,,,
Diana O'Dwyer,PBP-Solidarity ,Tipperary North,,(can't find videos on initial search),,,,,,,
Imelda Goldsboro,Fianna Fail,Tipperary South,247.79,Facebook video (personal account),0:00-0:40 s,https://www.facebook.com/watch/?v=587317673685035,,,,,* loud background music
Myriam Madigan,Green,Tipperary South,,(can't find videos on initial search),,,,,,,
Nadaline Webster,Independent Ireland,Tipperary South,139.14,Youtube video (interview),0:00-0:27 s,https://www.youtube.com/watch?v=DPwBI4Cd0dM,,,,,
Rosemary McGlone,Aontú,Tipperary South,197.04,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/watch/?v=722825566512825,,,,,
Mary Butler,Fianna Fail,Waterford,193.78,Facebook video (party account),0:00-0:30 s,https://www.facebook.com/watch/?v=24087630997508092,,,,,
Sadhbh O'Neill,Labour,Waterford,216.43,Facebook video (personal account),0:00-0:34 s,https://www.facebook.com/Sadhbh4Senate/videos/604223788863851/,,,,,
Mary Roche,Social Democrats,Waterford,234.67,TikTok video (personal account),0:03-0:34 s,https://www.tiktok.com/@cllrmaryroche/video/7442440021921025313,,,,,
Melissa O'Neill,Independent,Waterford,144.63,Youtube video (interview),3:28-4:00 s,https://www.youtube.com/watch?v=y1GqIEY2aHc,,,,,
Michelle O'Neill,Fianna Fail,Wexford,187.98,Instagram video (personal account),0:00-0:30 s,https://www.instagram.com/michelleoneillofficial/reels/?hl=en,,,,,
Bridín Murphy,Fine Gael,Wexford,185.43,Instagram video (personal account),0:00-0:31 s,https://www.instagram.com/cllrbridin/reels/?hl=en,,,,,
Martina Stafford,PBP-Solidarity ,Wexford,,(can't find videos on initial search),,,,,,,
Verona Murphy ,Independent,Wexford,190.5,Youtube video (dail speech),0:00-0:32 s,https://www.youtube.com/watch?v=WPSCk2nSjYI,,,,,
Jennifer Whitmore,Social Democrats,Wicklow,155.51,Youtube video (dail speech),0:00-0:33 s,https://www.youtube.com/watch?v=wTotrojF34E,,,,,
Kellie McConnell,PBP-Solidarity ,Wicklow,158.59,Instagram video (personal account),0:00-0:34 s,https://www.instagram.com/kelliemcconnellpbp/?hl=en,,,,,
Michaela Keddy,IP,Wicklow,198.95,Facebook video (personal account),0:00-0:33 s,https://www.facebook.com/profile.php?id=100011536505780&sk=videos,,,,,
Ann Walsh,Green,Wicklow-Wexford,140.76,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/61557061882605/videos/1071424614434060,,,,,
Aislinn O'Keeffe,PBP-Solidarity ,Wicklow-Wexford,,(can't find videos on initial search),,,,,,,
Sinéad Boland,Aontú,Wicklow-Wexford,,(can't find videos on initial search),,,,,,,
Ilsa-Maria Nolan,Independent,Wicklow-Wexford,,(can't find videos on initial search),,,,,,,
